nome,eleito
SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,1
DANILO JORGE DE BARROS CABRAL,1
FELIPE AUGUSTO LYRA CARRERAS,1
FERNANDO BEZERRA DE SOUZA COELHO FILHO,1
FRANCISCO EURICO DA SILVA,1
FRANCISCO TADEU BARBOSA DE ALENCAR,1
JOAO FERNANDO PONTUAL COUTINHO,1
LUIZ GONZAGA PATRIOTA,1
MARINALDO ROSENDO DE ALBUQUERQUE,1
SILVIO SERAFIM COSTA,1
ANDRE CARLOS ALVES DE PAULA FILHO,1
BRUNO CAVALCANTI DE ARAÚJO,1
DANIEL PIRES COELHO,1
HEBERTE LAMARCK GOMES DA SILVA,1
ADALBERTO CAVALCANTI RODRIGUES,1
JORGE WICKS CÔRTE REAL,1
JOSE CAVALCANTI ALVES JUNIOR,1
RICARDO TEOBALDO CAVALCANTI,1
MARCELO COSTA E CASTRO,1
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,1
ATILA FREITAS LIRA,1
HERACLITO DE SOUSA FORTES,1
RODRIGO RODRIGUES DE SOUZA MARTINS,1
JULIO CESAR DE CARVALHO LIMA,1
REJANE RIBEIRO SOUSA DIAS,1
FRANCISCO DE ASSIS CARVALHO GONÇALVES,1
FÁBIO ABREU COSTA,1
JOSÉ FRANCISCO PAES LANDIM,1
ALIEL MACHADO BARK,1
DIEGO ALEXSANDER GONÇALO PAULA GARCIA,1
HERMES PARCIANELLO,1
JOÃO JOSÉ DE ARRUDA JUNIOR,1
OSMAR JOSE SERRAGLIO,1
SERGIO DE SOUZA,1
DILCEU JOÃO SPERAFICO,1
MARCELO BELINATI MARTINS,1
NELSON MEURER,1
RICARDO JOSÉ MAGALHÃES BARROS,1
RUBENS BUENO,1
SANDRO ALEX CRUZ DE OLIVEIRA,1
FERNANDO LUCIO GIACOBO,1
LUIZ HILOSHI NISHIMORI,1
LEOPOLDO COSTA MEYER,1
LUCIANO DUCCI,1
EDMAR DE SOUZA ARRUDA,1
HIDEKAZU TAKAYAMA,1
EVANDRO ROGÉRIO ROMAN,1
JACOB ALFREDO STOFFELS KAEFER,1
LUIZ CARLOS JORGE HAULY,1
VALDIR LUIZ ROSSONI,1
ANTONIO WANDSCHEER,1
ASSIS MIGUEL DO COUTO,1
ENIO JOSÉ VERRI,1
JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,1
ALEX CANZIANI SILVEIRA,1
CHRISTIANE DE SOUZA YARED,1
LEANDRE DAL PONTE,1
FERNANDO DESTITO FRANCISCHINI,1
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,1
JANDIRA FEGHALI,1
MARCELO VIVIANI GONÇALVES,1
SORAYA ALENCAR DOS SANTOS,1
CELSO PANSERA,1
EDUARDO COSENTINO DA CUNHA,1
FERNANDO ANTONIO CECILIANO JORDÃO,1
LEONARDO CARNEIRO MONTEIRO PICCIANI,1
MARCO ANTÔNIO NEVES CABRAL,1
PEDRO PAULO CARVALHO TEIXEIRA,1
WASHINGTON REIS DE OLIVEIRA,1
JAIR MESSIAS BOLSONARO,1
JULIO LUIZ BAPTISTA LOPES,1
SIMAO SESSIM,1
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,1
ALTINEU CORTES FREITAS COUTINHO,1
FRANCISCO FLORIANO DE SOUSA SILVA,1
JOAO FERREIRA NETO,1
MARCOS BEZERRA RIBEIRO SOARES,1
PAULO FERNANDO FEIJÓ TORRES,1
ROSANGELA DE SOUZA GOMES,1
ROBERTO DA SILVA SALES,1
HUGO LEAL MELO DA SILVA,1
MIRO TEIXEIRA,1
ALEXANDRE VALLE CARDOSO,1
GLAUBER DE MEDEIROS BRAGA,1
ALEXANDRE AUGUSTUS SERFIOTIS,1
ANTONIO PEDRO INDIO DA COSTA,1
AROLDE DE OLIVEIRA,1
FELIPE LEONE BORNIER DE OLIVEIRA,1
SERGIO ZVEITER,1
SÓSTENES SILVA CAVALCANTE,1
OTAVIO SANTOS SILVA LEITE,1
LUIZ CARLOS RAMOS,1
BENEVENUTO DACIOLO FONSECA DOS SANTOS,1
FRANCISCO RODRIGUES DE ALENCAR FILHO,1
JEAN WYLLYS DE MATOS SANTOS,1
BENEDITA SOUZA DA SILVA SAMPAIO,1
ALESSANDRO LUCCIOLA MOLON,1
FABIANO TAQUES HORTA,1
FRANCISCO JOSÉ D'ANGELO PINTO,1
LUIZ SERGIO NÓBREGA DE OLIVEIRA,1
CRISTIANE BRASIL FRANCISCO,1
